City,Cloudiness,Country,Date,Humidity,lat,lng,Max Temp,Wind Speed
Ushuaia,75,AR,1590796251,79,-54.8,-68.3,280.15,4.1
Coyhaique,90,CL,1590796192,82,-45.58,-72.07,273.15,1.0
Hermanus,82,ZA,1590796201,97,-34.42,19.23,284.82,2.12
Puerto Ayora,75,EC,1590796408,65,-0.74,-90.35,300.15,8.7
Sauce,100,UY,1590796408,87,-34.65,-56.06,288.15,2.1
Cap Malheureux,1,MU,1590796408,85,-19.98,57.61,294.82,2.24
Fortuna,75,US,1590796409,93,40.6,-124.16,289.82,4.6
Arraial do Cabo,0,BR,1590796409,77,-22.97,-42.03,294.15,4.1
Kabare,49,CD,1590796409,84,-2.47,28.82,289.61,0.38
Sabha,0,LY,1590796409,27,27.04,14.43,297.82,6.05
Chui,100,UY,1590796261,86,-33.7,-53.46,287.71,1.88
Mataura,2,NZ,1590796410,69,-46.19,168.86,284.04,1.11
Rikitea,8,PF,1590796410,80,-23.12,-134.97,297.15,4.43
Punta Arenas,75,CL,1590796410,81,-53.15,-70.92,279.15,5.7
Cape Town,75,ZA,1590796410,93,-33.93,18.42,287.04,0.5
Qaanaaq,8,GL,1590796411,92,77.48,-69.36,271.13,2.07
Ancud,2,CL,1590796224,86,-41.87,-73.82,280.37,2.1
Sisimiut,10,GL,1590796265,85,66.94,-53.67,274.8,4.45
Copala,1,MX,1590796411,59,16.65,-98.98,301.77,3.41
Solapur,26,IN,1590796412,48,17.68,75.92,301.86,6.61
San Jose,75,US,1590796353,46,37.34,-121.89,298.71,9.8
Kapaa,20,US,1590796412,74,22.08,-159.32,300.15,6.2
Lavrentiya,40,RU,1590796413,85,65.58,-171.0,276.48,1.31
Mount Isa,10,AU,1590796413,26,-20.73,139.5,295.15,1.0
Kumul,0,CN,1590796413,26,42.8,93.45,291.12,5.57
Ribeira Grande,100,PT,1590796414,88,38.52,-28.7,290.98,6.26
Samarai,45,PG,1590796249,82,-10.62,150.67,300.71,4.65
Whitehorse,75,CA,1590796414,34,60.72,-135.05,291.15,3.1
Saint George,1,US,1590796265,9,37.1,-113.58,312.59,5.1
San Cristobal,98,VE,1590796350,87,7.77,-72.22,293.2,0.94
Lebu,0,CL,1590796415,73,-37.62,-73.65,281.89,6.52
Airai,87,TL,1590796415,80,-8.93,125.41,291.52,1.23
Saskylakh,40,RU,1590796212,72,71.92,114.08,277.05,2.44
Deniliquin,0,AU,1590796416,78,-35.53,144.97,284.82,0.89
Saint Paul Harbor,90,US,1590796416,62,57.79,-152.41,286.15,2.1
Khatanga,100,RU,1590796416,95,71.97,102.5,274.08,2.86
Buta,98,CD,1590796417,97,2.79,24.73,294.27,0.43
New Norfolk,100,AU,1590796417,74,-42.78,147.06,285.93,0.45
Walvis Bay,0,NA,1590796417,33,-22.96,14.51,290.15,2.6
Yellowknife,20,CA,1590796376,37,62.46,-114.35,284.26,3.1
Chokurdakh,89,RU,1590796418,39,70.63,147.92,286.12,5.09
Grindavik,75,IS,1590796418,93,63.84,-22.43,282.15,11.3
Salalah,90,OM,1590796418,94,17.02,54.09,298.15,1.0
Bluff,20,NZ,1590796419,80,-46.6,168.33,284.31,5.67
Albany,84,US,1590796369,81,42.6,-73.97,299.26,3.02
São João da Barra,4,BR,1590796419,71,-21.64,-41.05,293.06,2.05
Buenos Aires,100,AR,1590796181,82,-34.61,-58.38,290.37,1.0
Novikovo,99,RU,1590796420,94,51.15,37.89,289.51,2.93
Nikolskoye,0,RU,1590796420,81,59.7,30.79,280.15,2.0
Ponta do Sol,40,PT,1590796420,68,32.67,-17.1,293.15,1.5
Jumla,99,NP,1590796420,67,29.27,82.18,284.27,1.21
Hithadhoo,97,MV,1590796420,77,-0.6,73.08,301.46,5.96
Honningsvåg,97,NO,1590796421,79,70.98,25.97,279.22,8.41
Gatesville,1,US,1590796421,39,31.44,-97.74,302.59,3.1
Pevek,94,RU,1590796422,73,69.7,170.31,277.39,9.34
Inhambane,0,MZ,1590796422,88,-23.86,35.38,292.31,2.28
Dingle,92,PH,1590796422,73,11.0,122.67,302.34,0.9
Port Alfred,31,ZA,1590796422,80,-33.59,26.89,287.59,2.68
Waitati,0,NZ,1590796422,52,-45.75,170.57,286.32,0.8
Narsaq,0,GL,1590796423,52,60.92,-46.05,281.15,2.6
Jamestown,90,US,1590796207,88,42.1,-79.24,290.37,4.1
Wellington,83,NZ,1590796240,87,-41.29,174.78,285.37,7.2
Scarborough,0,GB,1590796423,87,54.28,-0.4,283.15,3.08
Praia da Vitória,20,PT,1590796238,87,38.73,-27.07,289.15,2.82
Portland,75,US,1590796258,34,45.52,-122.68,302.59,4.6
Goderich,96,CA,1590796314,86,43.75,-81.72,287.04,2.55
Barrow,1,US,1590796424,63,71.29,-156.79,275.15,5.1
Upernavik,22,GL,1590796425,94,72.79,-56.15,271.53,1.01
Laguna,1,US,1590796425,37,38.42,-121.42,302.15,4.1
Severo-Kuril'sk,48,RU,1590796227,77,50.68,156.12,278.49,4.26
Iwanai,3,JP,1590796130,48,42.97,140.51,293.11,2.78
Kavaratti,100,IN,1590796426,76,10.57,72.64,300.32,0.93
Saint-François,0,FR,1590796426,76,46.42,3.91,283.71,1.12
Hobart,75,AU,1590796426,66,-42.88,147.33,287.04,4.1
Sabla,80,NG,1590796426,25,12.75,4.71,307.01,3.77
Mackay,90,AU,1590796427,83,-21.15,149.2,295.37,5.1
Tuatapere,0,NZ,1590796427,67,-46.13,167.68,284.85,1.51
Hurghada,45,EG,1590796427,33,27.26,33.81,296.15,8.2
Bella Union,0,UY,1590796428,89,-30.28,-57.6,289.58,3.01
Senanga,0,ZM,1590796428,39,-16.12,23.27,285.94,1.87
Kamaishi,0,JP,1590796428,67,39.27,141.88,290.15,1.5
Atuona,5,PF,1590796428,76,-9.8,-139.03,300.65,7.68
Lorengau,93,PG,1590796429,71,-2.02,147.27,302.1,0.77
Petropavlovsk-Kamchatskiy,1,RU,1590796429,50,53.05,158.65,286.15,3.0
Hilo,20,US,1590796263,54,19.73,-155.09,302.15,6.2
Taltal,71,CL,1590796430,74,-25.4,-70.48,288.51,0.52
Karratha,0,AU,1590796431,31,-20.74,116.85,294.02,5.88
Vaini,20,TO,1590796211,78,-21.2,-175.2,299.15,4.1
Zaykovo,4,RU,1590796431,80,57.56,62.76,284.11,2.11
Kemijärvi,28,FI,1590796432,90,66.71,27.43,277.47,3.27
Husavik,40,IS,1590796432,58,66.04,-17.34,285.15,9.3
Buala,79,SB,1590796241,68,-8.14,159.59,303.21,1.98
Leningradskiy,100,RU,1590796432,93,69.38,178.42,277.43,3.89
General Roca,75,AR,1590796247,93,-39.03,-67.58,278.15,2.6
San Patricio,5,MX,1590796236,74,19.22,-104.7,301.15,18.0
Butaritari,3,KI,1590796433,70,3.07,172.79,301.84,2.95
Ketchikan,90,US,1590796433,62,55.34,-131.65,288.15,8.2
Taperoá,97,BR,1590796434,82,-7.21,-36.83,294.28,5.85
Chapais,90,CA,1590796434,81,49.78,-74.85,284.15,4.6
Tasiilaq,100,GL,1590796434,86,65.61,-37.64,277.15,4.6
Qaqortoq,0,GL,1590796434,52,60.72,-46.03,281.15,2.6
Lázaro Cárdenas,0,MX,1590796435,73,17.96,-102.2,299.31,5.09
Leshukonskoye,50,RU,1590796435,74,64.9,45.76,278.71,1.13
Saint-Philippe,38,RE,1590796435,53,-21.36,55.77,295.15,4.1
Ambovombe,13,MG,1590796267,94,-25.17,46.08,291.47,2.97
Bethel,1,US,1590796436,78,41.37,-73.41,297.15,4.6
Puerto Baquerizo Moreno,30,EC,1590796436,89,-0.9,-89.6,296.39,4.93
Tahoua,2,NE,1590796436,14,14.89,5.27,307.55,2.08
Honiara,40,SB,1590796306,70,-9.43,159.95,304.15,2.1
Bambous Virieux,40,MU,1590796234,94,-20.34,57.76,294.82,1.5
Port Hardy,75,CA,1590796437,62,50.7,-127.42,287.15,6.2
Manama,0,BH,1590796323,70,26.22,50.58,303.15,1.5
Pimentel,2,PE,1590796438,87,-6.84,-79.93,293.48,6.22
Castro,0,BR,1590796438,86,-24.79,-50.01,283.27,1.43
Price,1,US,1590796335,17,39.6,-110.81,303.15,1.5
Talnakh,17,RU,1590796256,67,69.49,88.4,280.15,3.0
Longyearbyen,75,SJ,1590796440,80,78.22,15.64,277.15,8.7
Fécamp,0,FR,1590796440,71,49.76,0.37,286.48,3.6
Faanui,19,PF,1590796253,79,-16.48,-151.75,300.46,8.56
Thompson,40,CA,1590796441,31,55.74,-97.86,283.15,7.2
Carnarvon,37,AU,1590796255,76,-24.87,113.63,292.06,8.29
Tuktoyaktuk,90,CA,1590796204,92,69.45,-133.04,271.15,5.1
Ust'-Omchug,99,RU,1590796442,87,61.15,149.63,274.53,1.53
Sitka,90,US,1590796442,58,57.05,-135.33,287.15,2.1
Zhigansk,61,RU,1590796443,58,66.77,123.37,279.05,3.96
Verkhnevilyuysk,46,RU,1590796443,54,63.45,120.32,281.39,3.13
Chancay,75,PE,1590796443,82,-11.57,-77.27,292.15,6.2
Praia,20,CV,1590796444,47,14.92,-23.51,299.15,4.6
Tabou,60,CI,1590796229,90,4.42,-7.35,298.66,3.07
Saint Anthony,20,US,1590796444,42,45.02,-93.22,292.59,2.1
Santa Marta,37,CO,1590796396,87,11.24,-74.2,299.26,4.24
Mahébourg,40,MU,1590796445,94,-20.41,57.7,293.15,1.5
Mikrópolis,42,GR,1590796445,91,41.19,23.82,285.37,1.48
Padang,100,ID,1590796445,81,-0.95,100.35,299.46,2.42
Ilulissat,14,GL,1590796446,64,69.22,-51.1,274.15,2.1
Soc Trang,40,VN,1590796446,100,9.6,105.98,300.15,1.5
Busselton,34,AU,1590796447,83,-33.65,115.33,280.37,4.96
Bredasdorp,79,ZA,1590796207,87,-34.53,20.04,284.15,1.0
Alta Floresta,93,BR,1590796448,83,-9.88,-56.09,296.31,1.35
Vila,86,PT,1590796448,76,42.03,-8.16,292.59,2.24
Kaseda-shirakame,96,JP,1590796448,56,31.42,130.32,293.15,2.1
George Town,20,MY,1590796230,94,5.41,100.34,299.15,1.76
Alyangula,7,AU,1590796449,83,-13.85,136.42,296.15,4.49
Mersing,99,MY,1590796449,100,2.43,103.84,297.15,2.6
‘Ewa Beach,40,US,1590796450,45,21.32,-158.01,302.15,6.2
Tura,23,IN,1590796450,98,25.52,90.22,294.58,1.44
